epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4064.68,0.86027,0.62713,1.18697,0.84607,0.85524,0.87176,0.71692,0.68601,0.66966,1.07774,0.000259121,0.000259121,0.000259121
43,4155.81,0.85342,0.63088,1.18074,0.86767,0.84658,0.85996,0.70844,0.6812,0.66015,1.06899,0.000252611,0.000252611,0.000252611
44,4246.78,0.85273,0.61413,1.17591,0.87068,0.83706,0.86913,0.71085,0.69703,0.66561,1.0801,0.000246102,0.000246102,0.000246102
45,4338.54,0.84216,0.61249,1.16975,0.843,0.86289,0.874,0.717,0.69193,0.65628,1.08719,0.000239593,0.000239593,0.000239593
46,4429.17,0.83724,0.59913,1.16439,0.86547,0.87244,0.88203,0.72438,0.66678,0.62109,1.064,0.000233084,0.000233084,0.000233084
47,4519.38,0.83,0.59136,1.16074,0.84669,0.84628,0.86281,0.71261,0.67018,0.65468,1.06619,0.000226575,0.000226575,0.000226575
48,4610.15,0.83427,0.5931,1.16205,0.87338,0.8651,0.87415,0.72466,0.66508,0.59709,1.06516,0.000220065,0.000220065,0.000220065
49,4701.22,0.82698,0.57561,1.15568,0.859,0.85388,0.86819,0.71289,0.68857,0.64865,1.08892,0.000213556,0.000213556,0.000213556
50,4792.52,0.8227,0.58249,1.15833,0.8713,0.86204,0.8727,0.72279,0.6708,0.59628,1.05194,0.000207047,0.000207047,0.000207047
51,4883.56,0.81869,0.59017,1.15906,0.8724,0.8601,0.8638,0.71395,0.67094,0.62702,1.06862,0.000200537,0.000200537,0.000200537
52,4974.81,0.80809,0.57668,1.15893,0.87517,0.85232,0.87062,0.72198,0.66436,0.62185,1.05966,0.000194028,0.000194028,0.000194028
53,5066.78,0.80972,0.57299,1.1455,0.85884,0.87111,0.86816,0.72312,0.65466,0.61922,1.05314,0.000187519,0.000187519,0.000187519
54,5158.09,0.81793,0.57951,1.15672,0.89123,0.84633,0.86279,0.71841,0.66424,0.63389,1.06754,0.00018101,0.00018101,0.00018101
55,5247.57,0.81259,0.57897,1.15751,0.87197,0.865,0.87236,0.72144,0.65881,0.63597,1.05446,0.0001745,0.0001745,0.0001745
56,5339.87,0.79863,0.55506,1.14599,0.85383,0.86826,0.87761,0.72559,0.66436,0.62497,1.04869,0.000167991,0.000167991,0.000167991
57,5430.4,0.80231,0.55585,1.1502,0.87675,0.85498,0.86677,0.71861,0.66011,0.62923,1.05712,0.000161482,0.000161482,0.000161482
58,5522.84,0.79297,0.56279,1.14306,0.87802,0.86254,0.87603,0.72476,0.65771,0.61875,1.05367,0.000154973,0.000154973,0.000154973
59,5614.49,0.78702,0.54232,1.13817,0.86513,0.85296,0.87535,0.72662,0.66138,0.62155,1.05227,0.000148463,0.000148463,0.000148463
60,5705.86,0.79538,0.55697,1.1485,0.87039,0.85604,0.85906,0.71386,0.67313,0.63397,1.06927,0.000141954,0.000141954,0.000141954
61,5796.73,0.77839,0.53226,1.1373,0.87957,0.86013,0.86859,0.71895,0.66404,0.63372,1.05785,0.000135445,0.000135445,0.000135445
62,5887.95,0.77208,0.52962,1.13166,0.8603,0.87273,0.87381,0.72333,0.65549,0.60923,1.05053,0.000128936,0.000128936,0.000128936
63,5978.4,0.78393,0.53974,1.13495,0.88122,0.85702,0.87445,0.72234,0.66451,0.59599,1.05892,0.000122426,0.000122426,0.000122426
64,6069.03,0.76946,0.52453,1.12986,0.86724,0.86439,0.86329,0.71589,0.65347,0.63232,1.05372,0.000115917,0.000115917,0.000115917
65,6159.63,0.77099,0.5252,1.12794,0.86824,0.8618,0.86468,0.71856,0.65156,0.61291,1.05022,0.000109408,0.000109408,0.000109408
66,6251.17,0.76369,0.52083,1.12411,0.86108,0.85444,0.85773,0.70993,0.65925,0.65052,1.05842,0.000102899,0.000102899,0.000102899
67,6341.81,0.74787,0.50639,1.11862,0.87684,0.85236,0.86762,0.72306,0.65363,0.62015,1.04901,9.63895e-05,9.63895e-05,9.63895e-05
68,6433.3,0.7599,0.51669,1.12455,0.8632,0.86402,0.86284,0.71643,0.65408,0.61169,1.05456,8.98803e-05,8.98803e-05,8.98803e-05
69,6524.2,0.7502,0.51151,1.11954,0.88512,0.84534,0.86626,0.72189,0.65004,0.61585,1.0528,8.3371e-05,8.3371e-05,8.3371e-05
