epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2245.85,0.66343,0.42697,1.17999,0.90712,0.95794,0.92229,0.77573,0.65447,0.46326,1.08428,6.3024e-05,6.3024e-05,6.3024e-05
42,2297.89,0.65365,0.40783,1.17603,0.906,0.95135,0.92624,0.77383,0.65829,0.46017,1.08594,5.70246e-05,5.70246e-05,5.70246e-05
43,2349.61,0.64664,0.39995,1.16694,0.8999,0.94733,0.92287,0.77578,0.65843,0.45041,1.08754,5.10252e-05,5.10252e-05,5.10252e-05
44,2402.68,0.64977,0.39792,1.17859,0.89571,0.94935,0.92295,0.77905,0.6465,0.44855,1.07576,4.50258e-05,4.50258e-05,4.50258e-05
45,2452.9,0.63645,0.38955,1.16393,0.90719,0.95053,0.9241,0.77744,0.64497,0.45201,1.07537,3.90264e-05,3.90264e-05,3.90264e-05
46,2503.03,0.65545,0.40318,1.18425,0.89795,0.95078,0.92316,0.77585,0.64673,0.45319,1.07872,3.3027e-05,3.3027e-05,3.3027e-05
47,2553.74,0.63311,0.38989,1.1588,0.90411,0.9469,0.92362,0.77828,0.64672,0.45388,1.07779,2.70276e-05,2.70276e-05,2.70276e-05
48,2605.58,0.62711,0.38636,1.15508,0.90816,0.94866,0.92446,0.778,0.64361,0.44327,1.07299,2.10282e-05,2.10282e-05,2.10282e-05
49,2660.06,0.6246,0.4007,1.16656,0.90573,0.94674,0.92393,0.77705,0.64829,0.44617,1.07856,1.50288e-05,1.50288e-05,1.50288e-05
50,2713.07,0.6282,0.3811,1.15741,0.9004,0.94764,0.92442,0.77914,0.64844,0.44798,1.08092,9.0294e-06,9.0294e-06,9.0294e-06
