epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7471.8,0.54932,0.53682,1.11503,0.95128,0.95519,0.97679,0.87893,0.54187,0.40089,0.98438,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,7793.88,0.54533,0.53152,1.11501,0.94415,0.96208,0.97587,0.88286,0.52832,0.4003,0.97119,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,8095.15,0.53425,0.52904,1.10373,0.93548,0.96788,0.97819,0.88749,0.5121,0.39075,0.96102,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,8392.28,0.53547,0.51883,1.10651,0.95022,0.95393,0.97859,0.89047,0.50511,0.39278,0.95227,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,8703.74,0.52707,0.51225,1.10013,0.94911,0.95647,0.97873,0.89169,0.51483,0.38531,0.9564,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,9013.77,0.53006,0.51138,1.10152,0.94382,0.96708,0.97904,0.89375,0.51353,0.37896,0.95708,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,9320.75,0.51833,0.49945,1.09287,0.94321,0.96736,0.98019,0.89703,0.49492,0.36735,0.94158,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,9619.86,0.51331,0.49033,1.09256,0.94988,0.96707,0.98055,0.903,0.48986,0.36386,0.93287,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,9903.66,0.5146,0.48764,1.09286,0.9526,0.96696,0.97976,0.90242,0.48107,0.35819,0.93018,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,10124.5,0.50764,0.48797,1.08937,0.95324,0.96813,0.98169,0.90035,0.48035,0.3599,0.92851,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,10345.9,0.50358,0.4819,1.08669,0.95662,0.96503,0.98055,0.90215,0.47874,0.36155,0.92513,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,10570.3,0.49471,0.47565,1.08148,0.95775,0.96527,0.98166,0.90623,0.47661,0.35742,0.92204,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,10796.4,0.49982,0.46803,1.08456,0.96811,0.9604,0.98168,0.90584,0.47689,0.35281,0.92321,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,11039.9,0.48825,0.46029,1.07622,0.97149,0.96413,0.98307,0.90857,0.47445,0.34965,0.92081,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,11343.8,0.4924,0.45722,1.07785,0.96193,0.96829,0.98456,0.90852,0.47508,0.3478,0.91539,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,11645.1,0.48809,0.45582,1.07684,0.9662,0.96458,0.98456,0.91228,0.45468,0.34544,0.89819,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,11939.1,0.48028,0.45046,1.06904,0.97077,0.96804,0.9845,0.91557,0.44516,0.34212,0.89319,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,12204,0.47444,0.44723,1.06794,0.96745,0.96744,0.98376,0.91464,0.45349,0.34254,0.89898,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,12514,0.47561,0.4467,1.06638,0.96829,0.97147,0.98503,0.91478,0.45153,0.34121,0.89595,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,12822.7,0.46613,0.43314,1.06069,0.96854,0.96909,0.98491,0.91902,0.44083,0.33143,0.88392,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,13095.7,0.46495,0.42891,1.06073,0.97686,0.96567,0.98519,0.92037,0.43759,0.32798,0.87896,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,13382,0.4667,0.4352,1.0617,0.97118,0.96837,0.98561,0.92093,0.43453,0.32939,0.87809,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,13694.3,0.45697,0.42535,1.05487,0.97422,0.96414,0.98469,0.92436,0.42366,0.32864,0.86931,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,14004.1,0.45846,0.4233,1.05614,0.97635,0.96791,0.98574,0.92329,0.42756,0.32381,0.86957,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,14311.1,0.45141,0.41529,1.05055,0.9807,0.96595,0.98593,0.92468,0.42534,0.31951,0.86772,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,14613.5,0.45088,0.41403,1.05326,0.97283,0.97173,0.98556,0.92643,0.42274,0.31735,0.86624,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,14918.6,0.44881,0.41266,1.0496,0.96687,0.97736,0.9857,0.92638,0.41714,0.31496,0.86099,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,15244.7,0.44347,0.40822,1.04773,0.97157,0.97267,0.98596,0.92773,0.41153,0.31243,0.85624,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,15864.2,0.43951,0.40237,1.04438,0.98054,0.96851,0.9864,0.92688,0.41369,0.31278,0.8579,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,16511.6,0.44027,0.40194,1.04493,0.97267,0.97282,0.98633,0.93068,0.40665,0.30934,0.85522,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,17130.7,0.43732,0.39599,1.04009,0.9783,0.97232,0.98699,0.93087,0.40285,0.30619,0.84995,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,17467.2,0.4282,0.38544,1.03565,0.97719,0.9742,0.98704,0.93176,0.40217,0.30409,0.8492,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,17777.2,0.42468,0.38532,1.0335,0.97882,0.97465,0.98723,0.93481,0.39783,0.30365,0.84493,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
