epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,610.007,0.74146,0.43728,1.22804,0.98479,0.96491,0.99415,0.8567,0.6162,0.33501,1.13796,0.000600313,0.000600313,0.000600313
44,624.446,0.78947,0.4555,1.26682,0.99648,0.98246,0.985,0.84247,0.61991,0.338,1.14122,0.000584844,0.000584844,0.000584844
45,638.571,0.74785,0.4408,1.2484,0.99385,0.96491,0.98398,0.80781,0.74637,0.41465,1.2525,0.000569375,0.000569375,0.000569375
46,652.845,0.73615,0.44978,1.25357,0.97942,1,0.99328,0.86413,0.55752,0.35822,1.09652,0.000553906,0.000553906,0.000553906
47,666.786,0.75749,0.44403,1.2563,0.99602,1,0.995,0.8764,0.51212,0.31231,1.03878,0.000538438,0.000538438,0.000538438
48,680.136,0.69729,0.42017,1.20536,0.99844,1,0.995,0.86677,0.56575,0.33195,1.1023,0.000522969,0.000522969,0.000522969
49,693.618,0.70504,0.41158,1.19737,0.98035,1,0.995,0.8623,0.55147,0.3457,1.09301,0.0005075,0.0005075,0.0005075
50,707.253,0.6896,0.40751,1.18598,0.98169,1,0.99414,0.85667,0.61645,0.31532,1.14866,0.000492031,0.000492031,0.000492031
51,720.686,0.69489,0.42141,1.20657,0.99913,1,0.995,0.87456,0.55322,0.32834,1.06651,0.000476562,0.000476562,0.000476562
52,734.049,0.67315,0.40319,1.20865,0.96208,1,0.9752,0.80578,0.63083,0.37963,1.1735,0.000461094,0.000461094,0.000461094
53,747.399,0.67552,0.40853,1.19791,0.9816,1,0.99259,0.8514,0.58031,0.32999,1.09979,0.000445625,0.000445625,0.000445625
54,760.975,0.6568,0.40025,1.18526,0.99447,1,0.995,0.83107,0.64398,0.3662,1.18183,0.000430156,0.000430156,0.000430156
55,775.049,0.65957,0.39065,1.17322,0.99685,1,0.995,0.84336,0.57265,0.35015,1.0691,0.000414688,0.000414688,0.000414688
56,788.575,0.66736,0.4006,1.17859,0.98516,1,0.995,0.86002,0.56417,0.32532,1.07148,0.000399219,0.000399219,0.000399219
57,801.836,0.65921,0.38811,1.17728,0.99857,1,0.995,0.86983,0.56538,0.33948,1.06599,0.00038375,0.00038375,0.00038375
58,815.229,0.66495,0.37554,1.17188,0.98384,1,0.995,0.87021,0.53507,0.33289,1.05276,0.000368281,0.000368281,0.000368281
59,828.744,0.64045,0.37279,1.17171,0.96578,1,0.99241,0.87356,0.52815,0.34483,1.0502,0.000352812,0.000352812,0.000352812
60,842.112,0.63974,0.371,1.15532,0.99425,1,0.995,0.89335,0.48535,0.29657,1.00219,0.000337344,0.000337344,0.000337344
61,855.675,0.61992,0.36033,1.16045,0.99892,1,0.995,0.88915,0.5153,0.2866,1.02751,0.000321875,0.000321875,0.000321875
62,869.03,0.60303,0.36866,1.14061,0.99886,1,0.995,0.88921,0.48644,0.28624,1.02387,0.000306406,0.000306406,0.000306406
63,882.505,0.58997,0.36112,1.13516,0.99864,1,0.995,0.87352,0.50552,0.293,1.04069,0.000290937,0.000290937,0.000290937
64,896.62,0.60149,0.37262,1.15088,0.99886,1,0.995,0.87784,0.4985,0.27452,1.0324,0.000275469,0.000275469,0.000275469
65,910.513,0.57756,0.35594,1.13135,0.99701,1,0.995,0.87087,0.5238,0.28738,1.04143,0.00026,0.00026,0.00026
66,924.12,0.59402,0.3694,1.1407,0.98242,1,0.995,0.87413,0.54124,0.30361,1.04725,0.000244531,0.000244531,0.000244531
67,937.464,0.60009,0.37175,1.14217,0.99093,1,0.995,0.90288,0.47918,0.28474,1.00785,0.000229063,0.000229063,0.000229063
68,951.119,0.61277,0.35898,1.14081,0.99661,1,0.995,0.88123,0.53667,0.29494,1.049,0.000213594,0.000213594,0.000213594
69,964.664,0.59465,0.35765,1.1443,0.99899,1,0.995,0.89864,0.49512,0.26611,1.02083,0.000198125,0.000198125,0.000198125
70,978.031,0.59122,0.35293,1.12675,0.99572,1,0.995,0.89088,0.49722,0.27788,1.00326,0.000182656,0.000182656,0.000182656
71,991.095,0.46873,0.3106,1.16874,0.9814,1,0.99483,0.88467,0.51289,0.29142,1.0248,0.000167188,0.000167188,0.000167188
72,1004.15,0.46301,0.26698,1.13372,0.98017,1,0.99483,0.89078,0.47771,0.3115,0.99126,0.000151719,0.000151719,0.000151719
73,1017.17,0.44206,0.25305,1.12445,0.99852,1,0.995,0.88813,0.483,0.29344,0.99674,0.00013625,0.00013625,0.00013625
74,1029.92,0.42551,0.24164,1.1091,0.99792,1,0.995,0.8797,0.50004,0.28073,1.00581,0.000120781,0.000120781,0.000120781
75,1042.69,0.41197,0.23801,1.09608,0.99624,1,0.995,0.89269,0.46931,0.26569,0.99212,0.000105312,0.000105312,0.000105312
76,1055.55,0.40619,0.23532,1.07072,0.99592,1,0.995,0.89513,0.48636,0.27627,1.00511,8.98437e-05,8.98437e-05,8.98437e-05
77,1068.29,0.44099,0.24696,1.11915,0.99801,1,0.995,0.90106,0.47062,0.26741,0.99442,7.4375e-05,7.4375e-05,7.4375e-05
78,1081.04,0.38679,0.22738,1.07998,0.99699,1,0.995,0.895,0.45915,0.26311,0.97705,5.89062e-05,5.89062e-05,5.89062e-05
79,1093.95,0.39816,0.2329,1.10265,0.99713,1,0.995,0.89462,0.45554,0.26144,0.97444,4.34375e-05,4.34375e-05,4.34375e-05
80,1106.7,0.38083,0.22548,1.07116,0.99746,1,0.995,0.89457,0.45496,0.26324,0.97859,2.79687e-05,2.79687e-05,2.79687e-05
